Adj Close,Close,High,Low,Open,Volume,Datetime
BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,
75880.421875,75880.421875,75880.421875,75880.421875,75880.421875,0,2024-11-08 02:09:00+00:00
75907.9921875,75907.9921875,75907.9921875,75907.9921875,75907.9921875,0,2024-11-08 02:11:00+00:00
75880.5078125,75880.5078125,75880.5078125,75880.5078125,75880.5078125,0,2024-11-08 02:12:00+00:00
75884.578125,75884.578125,75884.578125,75884.578125,75884.578125,0,2024-11-08 02:14:00+00:00
75869.203125,75869.203125,75869.203125,75869.203125,75869.203125,4636672,2024-11-08 02:15:00+00:00
75894.7265625,75894.7265625,75894.7265625,75894.7265625,75894.7265625,0,2024-11-08 02:16:00+00:00
75854.5078125,75854.5078125,75854.5078125,75854.5078125,75854.5078125,0,2024-11-08 02:18:00+00:00
75856.0078125,75856.0078125,75856.0078125,75856.0078125,75856.0078125,0,2024-11-08 02:20:00+00:00
75860.8046875,75860.8046875,75860.8046875,75860.8046875,75860.8046875,0,2024-11-08 02:21:00+00:00
75838.9140625,75838.9140625,75838.9140625,75838.9140625,75838.9140625,0,2024-11-08 02:23:00+00:00
75763.5,75763.5,75763.5,75763.5,75763.5,0,2024-11-08 02:25:00+00:00
75753.421875,75753.421875,75753.421875,75753.421875,75753.421875,0,2024-11-08 02:26:00+00:00
75726.6875,75726.6875,75726.6875,75726.6875,75726.6875,0,2024-11-08 02:28:00+00:00
75753.515625,75753.515625,75753.515625,75753.515625,75753.515625,0,2024-11-08 02:29:00+00:00
75771.84375,75771.84375,75771.84375,75771.84375,75771.84375,0,2024-11-08 02:30:00+00:00
75819.078125,75819.078125,75819.078125,75819.078125,75819.078125,8978432,2024-11-08 02:32:00+00:00
75773.40625,75773.40625,75773.40625,75773.40625,75773.40625,0,2024-11-08 02:33:00+00:00
75783.140625,75783.140625,75783.140625,75783.140625,75783.140625,0,2024-11-08 02:35:00+00:00
75815.3125,75815.3125,75815.3125,75815.3125,75815.3125,0,2024-11-08 02:36:00+00:00
75829.265625,75829.265625,75829.265625,75829.265625,75829.265625,0,2024-11-08 02:37:00+00:00
75844.640625,75844.640625,75844.640625,75844.640625,75844.640625,0,2024-11-08 02:38:00+00:00
75785.4765625,75785.4765625,75785.4765625,75785.4765625,75785.4765625,1425408,2024-11-08 02:40:00+00:00
75768.3515625,75768.3515625,75768.3515625,75768.3515625,75768.3515625,0,2024-11-08 02:41:00+00:00
75741.3515625,75741.3515625,75741.3515625,75741.3515625,75741.3515625,0,2024-11-08 02:42:00+00:00
75789.9921875,75789.9921875,75789.9921875,75789.9921875,75789.9921875,0,2024-11-08 02:44:00+00:00
75743.0234375,75743.0234375,75743.0234375,75743.0234375,75743.0234375,0,2024-11-08 02:45:00+00:00
75772.859375,75772.859375,75772.859375,75772.859375,75772.859375,0,2024-11-08 02:47:00+00:00
75753.3828125,75753.3828125,75753.3828125,75753.3828125,75753.3828125,6176768,2024-11-08 02:48:00+00:00
75763.9296875,75763.9296875,75763.9296875,75763.9296875,75763.9296875,0,2024-11-08 02:49:00+00:00
75762.0546875,75762.0546875,75762.0546875,75762.0546875,75762.0546875,0,2024-11-08 02:50:00+00:00
75799.5390625,75799.5390625,75799.5390625,75799.5390625,75799.5390625,0,2024-11-08 02:52:00+00:00
75750.1484375,75750.1484375,75750.1484375,75750.1484375,75750.1484375,0,2024-11-08 02:53:00+00:00
75777.6328125,75777.6328125,75777.6328125,75777.6328125,75777.6328125,0,2024-11-08 02:54:00+00:00
75763.59375,75763.59375,75763.59375,75763.59375,75763.59375,0,2024-11-08 02:56:00+00:00
75751.8203125,75751.8203125,75751.8203125,75751.8203125,75751.8203125,0,2024-11-08 02:57:00+00:00
75759.4609375,75759.4609375,75759.4609375,75759.4609375,75759.4609375,0,2024-11-08 02:58:00+00:00
75751.3984375,75751.3984375,75751.3984375,75751.3984375,75751.3984375,0,2024-11-08 02:59:00+00:00
75751.7265625,75751.7265625,75751.7265625,75751.7265625,75751.7265625,0,2024-11-08 03:00:00+00:00
75716.90625,75716.90625,75716.90625,75716.90625,75716.90625,0,2024-11-08 03:02:00+00:00
75687.859375,75687.859375,75687.859375,75687.859375,75687.859375,0,2024-11-08 03:04:00+00:00
75690.7890625,75690.7890625,75690.7890625,75690.7890625,75690.7890625,56565760,2024-11-08 03:05:00+00:00
75763.8671875,75763.8671875,75763.8671875,75763.8671875,75763.8671875,4014080,2024-11-08 03:06:00+00:00
75827.53125,75827.53125,75827.53125,75827.53125,75827.53125,29913088,2024-11-08 03:08:00+00:00
75872.84375,75872.84375,75872.84375,75872.84375,75872.84375,5390336,2024-11-08 03:09:00+00:00
75925.0,75925.0,75925.0,75925.0,75925.0,0,2024-11-08 03:10:00+00:00
75927.8125,75927.8125,75927.8125,75927.8125,75927.8125,14516224,2024-11-08 03:11:00+00:00
75934.5390625,75934.5390625,75934.5390625,75934.5390625,75934.5390625,0,2024-11-08 03:12:00+00:00
75942.0703125,75942.0703125,75942.0703125,75942.0703125,75942.0703125,0,2024-11-08 03:13:00+00:00
75930.125,75930.125,75930.125,75930.125,75930.125,0,2024-11-08 03:14:00+00:00
75909.03125,75909.03125,75909.03125,75909.03125,75909.03125,0,2024-11-08 03:16:00+00:00
75882.0703125,75882.0703125,75882.0703125,75882.0703125,75882.0703125,0,2024-11-08 03:17:00+00:00
75872.359375,75872.359375,75872.359375,75872.359375,75872.359375,0,2024-11-08 03:19:00+00:00
75861.015625,75861.015625,75861.015625,75861.015625,75861.015625,0,2024-11-08 03:21:00+00:00
75889.859375,75889.859375,75889.859375,75889.859375,75889.859375,0,2024-11-08 03:22:00+00:00
75896.2578125,75896.2578125,75896.2578125,75896.2578125,75896.2578125,0,2024-11-08 03:23:00+00:00
75912.375,75912.375,75912.375,75912.375,75912.375,0,2024-11-08 03:24:00+00:00
75894.7578125,75894.7578125,75894.7578125,75894.7578125,75894.7578125,0,2024-11-08 03:25:00+00:00
75845.5390625,75845.5390625,75845.5390625,75845.5390625,75845.5390625,0,2024-11-08 03:26:00+00:00
75851.9296875,75851.9296875,75851.9296875,75851.9296875,75851.9296875,0,2024-11-08 03:28:00+00:00
75833.9609375,75833.9609375,75833.9609375,75833.9609375,75833.9609375,0,2024-11-08 03:29:00+00:00
75821.25,75821.25,75821.25,75821.25,75821.25,0,2024-11-08 03:30:00+00:00
75834.71875,75834.71875,75834.71875,75834.71875,75834.71875,2768896,2024-11-08 03:31:00+00:00
75827.0625,75827.0625,75827.0625,75827.0625,75827.0625,0,2024-11-08 03:33:00+00:00
75781.546875,75781.546875,75781.546875,75781.546875,75781.546875,0,2024-11-08 03:34:00+00:00
75721.5078125,75721.5078125,75721.5078125,75721.5078125,75721.5078125,0,2024-11-08 03:35:00+00:00
75737.3359375,75737.3359375,75737.3359375,75737.3359375,75737.3359375,0,2024-11-08 03:36:00+00:00
75716.4609375,75716.4609375,75716.4609375,75716.4609375,75716.4609375,0,2024-11-08 03:37:00+00:00
75765.0859375,75765.0859375,75765.0859375,75765.0859375,75765.0859375,0,2024-11-08 03:38:00+00:00
75779.40625,75779.40625,75779.40625,75779.40625,75779.40625,12214272,2024-11-08 03:39:00+00:00
75792.9296875,75792.9296875,75792.9296875,75792.9296875,75792.9296875,0,2024-11-08 03:40:00+00:00
75786.7109375,75786.7109375,75786.7109375,75786.7109375,75786.7109375,0,2024-11-08 03:41:00+00:00
75805.03125,75805.03125,75805.03125,75805.03125,75805.03125,0,2024-11-08 03:43:00+00:00
75848.046875,75848.046875,75848.046875,75848.046875,75848.046875,0,2024-11-08 03:44:00+00:00
75835.53125,75835.53125,75835.53125,75835.53125,75835.53125,10297344,2024-11-08 03:45:00+00:00
75842.453125,75842.453125,75842.453125,75842.453125,75842.453125,69632,2024-11-08 03:46:00+00:00
75838.7890625,75838.7890625,75838.7890625,75838.7890625,75838.7890625,0,2024-11-08 03:47:00+00:00
75859.8984375,75859.8984375,75859.8984375,75859.8984375,75859.8984375,0,2024-11-08 03:49:00+00:00
75882.5078125,75882.5078125,75882.5078125,75882.5078125,75882.5078125,0,2024-11-08 03:50:00+00:00
75905.921875,75905.921875,75905.921875,75905.921875,75905.921875,0,2024-11-08 03:53:00+00:00
75891.7265625,75891.7265625,75891.7265625,75891.7265625,75891.7265625,0,2024-11-08 03:54:00+00:00
75925.03125,75925.03125,75925.03125,75925.03125,75925.03125,0,2024-11-08 03:55:00+00:00
75924.6328125,75924.6328125,75924.6328125,75924.6328125,75924.6328125,0,2024-11-08 03:56:00+00:00
75930.046875,75930.046875,75930.046875,75930.046875,75930.046875,12095488,2024-11-08 03:57:00+00:00
75924.4375,75924.4375,75924.4375,75924.4375,75924.4375,0,2024-11-08 03:58:00+00:00
75933.5078125,75933.5078125,75933.5078125,75933.5078125,75933.5078125,0,2024-11-08 03:59:00+00:00
75940.5703125,75940.5703125,75940.5703125,75940.5703125,75940.5703125,0,2024-11-08 04:00:00+00:00
75939.2578125,75939.2578125,75939.2578125,75939.2578125,75939.2578125,7741440,2024-11-08 04:01:00+00:00
75951.3359375,75951.3359375,75951.3359375,75951.3359375,75951.3359375,0,2024-11-08 04:02:00+00:00
75949.6015625,75949.6015625,75949.6015625,75949.6015625,75949.6015625,0,2024-11-08 04:03:00+00:00
75962.453125,75962.453125,75962.453125,75962.453125,75962.453125,0,2024-11-08 04:04:00+00:00
75988.53125,75988.53125,75988.53125,75988.53125,75988.53125,0,2024-11-08 04:05:00+00:00
75979.2265625,75979.2265625,75979.2265625,75979.2265625,75979.2265625,0,2024-11-08 04:07:00+00:00
75925.0390625,75925.0390625,75925.0390625,75925.0390625,75925.0390625,0,2024-11-08 04:08:00+00:00
75901.890625,75901.890625,75901.890625,75901.890625,75901.890625,0,2024-11-08 04:09:00+00:00
75921.9765625,75921.9765625,75921.9765625,75921.9765625,75921.9765625,0,2024-11-08 04:10:00+00:00
75940.6640625,75940.6640625,75940.6640625,75940.6640625,75940.6640625,0,2024-11-08 04:11:00+00:00
75964.203125,75964.203125,75964.203125,75964.203125,75964.203125,0,2024-11-08 04:12:00+00:00
75964.6484375,75964.6484375,75964.6484375,75964.6484375,75964.6484375,0,2024-11-08 04:14:00+00:00
75996.6953125,75996.6953125,75996.6953125,75996.6953125,75996.6953125,0,2024-11-08 04:16:00+00:00
76017.9453125,76017.9453125,76017.9453125,76017.9453125,76017.9453125,0,2024-11-08 04:17:00+00:00
76064.890625,76064.890625,76064.890625,76064.890625,76064.890625,0,2024-11-08 04:18:00+00:00
76053.265625,76053.265625,76053.265625,76053.265625,76053.265625,0,2024-11-08 04:20:00+00:00
